text,candidato
"@andrebnu voce concorda que bolsonaro é um herói nacional por ter matado 700 mil pessoas,",bolsonaro
"@Brasil_Go_Ahead @Rconstantino Não achei Bolsonaro torcendo para esses caras, só por isso sendo venezuelano acredito que o Bolsonaro tá certo. https://t.co/KDHw5EqDsc",bolsonaro
Esse burburinho do Collor ser ministro do Bolsonaro tá fazendo estrago. Kkkkkkkkkk,bolsonaro
@rosietip @lovingmelanie gaga n precisa de divulgaçao da lana como a michelle bolsonaro dos eua nao kk tanto q o produtor delas escolheu a gaga antes da lana ne https://t.co/iqPlxOc1ai https://t.co/hmpNv5KUWl,bolsonaro
"@jaimebm75 @SGPsicopolitica esses dias eu andei 600 km de carro no interior, uns 6 adesivos de candidatos do de partidos aleatorios, e mais de 100 do bolsonaro/bandeira do brasil, nenhum do pt... nao sei de onde o cachaceiro tira tanto voto",bolsonaro
tenho a impressão que nikol4s ferreir4 ainda vai se candidatar a presidência e vai ser pior que o bozo,bolsonaro
"@77_frota Vc é um idiota completo ✅, não tem um sujeito mais babaca do que você , pode voltar a fazer filme 🎥 erótico, vai ser uma realização mais efetiva na sua vida . Bolsonaro até 2026 🇧🇷",bolsonaro
"@betatrotta @RonMeza @xicosa @Haddad_Fernando Rsrs mas não precisa de nada para te fazer votar em um ser cruel, corrupto, genocida, machista, homofóbico,  q destrói o país e o meio ambiente, nazifascista. Ciência não é pata todos e o seu voto é uma questão de identificação.",bolsonaro
"@sergiotodoprosa @xicosa 7)⚠️Lula também trabalhou nos bastidores p/ sabotar o impeachment de Bolsonaro, o “melhor” adversário na eleição de 22. Constrói a narrativa da frente democrática junto c/os aliados corruptos e os ávidos p/poder. Desenha-se o estelionato eleitoral e o PETROLAO II. https://t.co/TlCFJQ3wBg",bolsonaro
Bolsonaro não deixa fazerem presepada na Amazônia? https://t.co/6fcm0AhCro,bolsonaro
"@UOLNoticias Enquanto isso o VICE GOVERNADOR DA BAHIA declara apoio a Bolsonaro 

https://t.co/DonSCP0JHg",bolsonaro
Sou evangélica e descobri q Bolsonaro tem ligações com seitas satânicas estou apavorada por ter votado nele no 1o turno mas oro dia e noite p q Jesus me perdoe por esse crime pq sonhei ontem c o Espírito Santo q me disse q todos q votarem nele irão queimar no mármore do inferno. https://t.co/u9b6KGgI3d,bolsonaro
