tweet,autoridades,emojis,caixa_alta,hashtags,termos_tecnicos,repeticoes_pontuacao,verbos_primeira_pessoa,pronomes_primeira_pessoa
"@cafecomferri @RomeuZema Bolsonaro já liberou 2 bilhões para a obra da linha 2 do novo metrô.  
Lula ao invés de fazer isso décadas atrás, usou nosso dinheiro pra construir metrô em Caracas (venezuela) vide Google.
Se ele se eleger, com certeza vai bloquear essa grana por pura birra, vai vendo...","@cafecomferri, Bolsonaro, Lula, Caracas, Venezuela, Google",,,,"google, venezuela",,,
"@kimpaim Com essa os mineiros corajosos que votaram em Zema e no lula, agora vão em peso pro Bolsonaro!
O tiro vai sair pela culatra, pois o Zema já tá eleito. Agora é só votar em Bolsonaro e Minas vai progredir.","@kimpaim, Zema, Bolsonaro, Zema, Bolsonaro, Minas",,O,,,,,
"@grisagregorio Verdadeiros Cristãos n reconhecem Bolsonaro. Frequentadores de igrejas protestantes autointitulados “cidadãos de bem”, apropriadores da designação Cristão, é que apoiam Bsonaro.","@grisagregorio verdadeiros, Bolsonaro, Cristão, Bsonaro",,,,,,,
"@guilherme_amado
Fiquei muito intrigada com sua matéria.
A ligação de Nikolas Ferreira e Ronosalto Pereira Neves.
https://t.co/pB0JAkPSmQ","Nikolas ferreira, Ronosalto pereira neves",,A,,nicolas,,fiquei,
"Refleti sobre o episódio em que Bolsonaro admitiu querer comer um índio. Já pensaram do que esse índio escapou? Seria mastigado, percorreria os intestinos e sairia pelo fiofó do Bolsonaro. Sabem lá que merda de vida teria sido aquela?","Bolsonaro, Bolsonaro",,,,,,refleti,
@Paulo_Cripto Bolsonaro e Collor irão confiscar as aposentadorias de todos os aposentados. https://t.co/eqlFu6NVpQ,"Bolsonaro, Collor, Https://t.co/eqlfu6nvpq",,,,,,,
"@APrimeiraVia Se for ocorrer essa depuração no partido, esses que não estão seguindo a orientação partidária de votar contra o genocida, também devem seguir o mesmo caminho.",,,,,,,,
BOLSOLÃO É A CORRUPÇÃO DO BOLSONARO! https://t.co/TfkSQxWA0O,"Bolsolão, A corrupção do bolsonaro!",,"BOLSOLÃO, É, A, CORRUPÇÃO, DO, BOLSONARO",,,,,
"@andrebnu Entre o Lula e bolsonaro, prefiro Lula, ele não é psicopata, já bolsonaro é...","@andrebnu, Lula, Bolsonaro",,,,,,prefiro,
"@iamnabbed redução de danos colega, se vc não viu gente próxima se fuder por causa desse governo genocida talvez não entenda",,,,,,,,
"@maxqmerda não, ele não gosta do bolsonaro",@maxqmerda,,,,,,,
"@jairbolsonaro Boa noite genocida, você compartilha mentiras sem puder, mas me diga, está feliz com o apoio de assassinos como Guilherme de Pádua e o Goleiro Bruno?

https://t.co/U3LGl1QGGv","@jairbolsonaro, Guilherme de pádua, Goleiro bruno",,,,guilherme,,,me
@cynaramenezes Que vergonha. Bolsonaro canibal,"@cynaramenezes, Bolsonaro",,,,,,,
"@revistaforum É a histeria que irá ser o fundamento da tentativa de impor uma ditadura de extrema direita se o Bolsonaro vencer. 

O ambiente vem sendo criado desde 2018. Se as pessoas não acordarem agora...","@revistaforum, Bolsonaro",,"É, O",,,,,
"@felipeneto  Essa é a democracia que você quer para o Povo Brasileiro ?? 
Não seja covarde com a sua nação!!!!
No fundo do seu coração você sabe que não esta fazendo o correto. Não estou pedindo para ser Bolsonaro e sim antipetismo. Não é justo falar que Lula é a melhor escolha! https://t.co/jYvL8P8tDD","@felipeneto  essa, Povo brasileiro, Bolsonaro, Lula, Https://t.co/jyvl8p8tdd",,,,,"""?"": 0, ""!"": 0",,
@Daniela35356619 Deus Pátria Familia . Bolsonaro 22,"@daniela35356619, Deus pátria familia, Bolsonaro",,,,,,,
"@aleestefan Nao, mas conheço quem votou no primeiro turno no Bolsonaro e quando eu contei a verdade sobre as fake News agr vai votar nulo kkkkkk","Bolsonaro, News agr",,,,,,"conheço, contei",eu
"O texto mais importante do dia. Do ano. Do século. De ontem. De 2018.
“Não é mais eleição para presidente. É plebiscito para ditador.”
Opinião - Celso Rocha de Barros: Se for Jair agora, será Jair pra sempre https://t.co/jVyCZNjHup","Opinião, Celso rocha de barros, Jair, Jair",,É,,celso,,,
"@crfshark @pxradoxy @loucosdobandoo 4-0 com show de romero 
3-0 no lixonä com golaço do elias
3-0 com golaço de zidanilo na copa do brasil
na nossa única final, o corinthians foi campeao
e ah, sem contar com a eliminação pro toma do JAIR VENTURA com gol do PEDRINHO KKKKKKKKKK você não conhece seu minúsculo time","@crfshark @pxradoxy @loucosdobandoo, Romero, Elias, Copa do brasil, Corinthians, Jair, Pedrinho",,"JAIR, VENTURA, PEDRINHO, KKKKKKKKKK",,"corinthians, elias, pro, romero",,,
@APrimeiraVia Tomara que ele fale das loucuras do Bolsonaro querendo Aparelhar o STF,"Tomara, Bolsonaro, Aparelhar, Stf",,STF,,,,,
"Jamais se viu  presidente da República com  discurso tão insultuoso, para o qual não apresenta desculpas ou arrependimento. Bolsonaro segue pedindo votos, após dizer a estrangeiros, que""comeria indígenas com banana"", para impor seu real desrespeito a todos nós,indígenas ou não.","Presidente da república, Bolsonaro",,,,,,,nós
@BrazilFight Para ele talvez (natura) para o povo o livramento. Bolsonaro 22!,,,,,,,,
"@JCastroThe @jlemossilva @ThiagoSussekind Se o PL é base do PT desde 2002, o que vai mudar? Valdemar virou patriota? 🤭

Não vou mais responder. Se quiser continuar vivendo na ilusão, é problema seu.","@jcastrothe @jlemossilva, Pt, Valdemar",🤭,"PL, PT",,valdemar,,,
"BOLSONARO É COLLOR
COLLOR É BOLSONARO https://t.co/16Z8W82neF",Bolsonaro https://t.co/16z8w82nef,,"BOLSONARO, É, COLLOR, COLLOR, É, BOLSONARO",,,,,
"@IndiaraSerreiro @Pedrovida12 Acorda fraquejada. Isso não existe. Seu capitão de merda e TDS os filhos sempre foram eleitos via urna eletrônica, agora ela não presta mais? 
Se tiver provas,corre e manda pro TSE, pq seu canibal de estimação vai ser chutado da cadeira presidencial e vc sabe disso.","Acorda, Tds, Tse",,"TDS, TSE",,,,,
